date,regulation,source,ingested_at,pokemon_name,teratype_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,fighting,2.0760082856627817
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,fairy,13.813477505605896
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,flying,13.204244786216037
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,steel,1.5020422876070723
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,ground,0.011820448953936524
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,psychic,0.9512356558366184
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,electric,1.4756008388847799
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,fire,15.625752936521575
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,bug,0.02233958252958107
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,dragon,0.01712327187139495
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,normal,0.05805520250589852
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,rock,5.666584872776603e-05
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ogerpon-Wellspring,water,1690.6408755355594
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,fire,1253.0380073878234
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,grass,85.94741000526618
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,water,139.22410609244073
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,ground,31.017224480147714
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,ghost,6.874770010918187
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,dragon,1.0226862715895033
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,dark,0.43101940854838766
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,poison,20.725698966245304
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,ice,0.031787697311806584
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,rock,24.938501312665956
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,normal,0.0912847192017151
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,bug,0.035543820352923805
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,electric,0.06948027565668174
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,steel,10.354462646952348
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,flying,0.7340791222548546
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,fighting,0.06085961309407267
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,stellar,0.022646765646935296
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,fairy,1.7334074607485503
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,psychic,1.6042509975999764e-07
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,poison,602.6975423115232
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,steel,590.1379643568417
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,water,54.39389305567763
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,ground,6.703959972998523
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,flying,1.8600139574625845
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,ice,0.020156973085372953
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,grass,219.65883506606878
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,fighting,0.009274342055864915
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,ghost,39.23427484757483
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,rock,0.0502685705604744
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,dragon,0.2941557644802455
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,fire,0.3322627859525138
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,fairy,2.2510082430185077
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,stellar,0.06216212196090837
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,electric,0.0022610970159313015
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,psychic,0.17601189603333794
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,dark,0.0019923609118952523
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,normal,0.020645656930582457
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,bug,2.449566616213872e-08
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,fairy,313.8819153077032
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,steel,369.19227683710824
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,water,83.4608936143356
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,dragon,247.3869750452067
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,psychic,0.007669451657503101
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,flying,315.55713325782494
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,normal,0.4404319483420555
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,ground,0.0972722560603767
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,ghost,0.6383327607963893
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,rock,0.10235598054293121
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,fighting,6.546764541394158
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,grass,0.40505663976183404
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,fire,0.8329194301308771
