date,regulation,source,ingested_at,pokemon_name,ability_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Walking Wake,protosynthesis,108.5382648393376
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Primarina,liquidvoice,90.22546910991416
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Primarina,torrent,1.239924489370541
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Orthworm,eartheater,86.79419442088786
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Orthworm,sandveil,0.013073718688435931
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Lilligant-Hisui,chlorophyll,89.03338782100134
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Lilligant-Hisui,hustle,0.021488226149875334
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Lilligant-Hisui,leafguard,0.010794695166311818
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Bundle,quarkdrive,88.62864778096734
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Regice,icebody,59.96234539766924
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Regice,clearbody,23.53413977181059
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Latios,levitate,73.39667462031257
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Zapdos-Galar,defiant,75.37146866701734
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Okidogi,guarddog,71.7514096978094
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Okidogi,toxicchain,1.701034370280992
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Brambleghast,windrider,67.75476824127388
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Brambleghast,infiltrator,4.6760382968469294e-05
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tyranitar,sandstream,63.7959332899568
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tyranitar,unnerve,0.02167477391043532
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Metagross,clearbody,65.07995198706385
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Metagross,lightmetal,0.0055328163467425195
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Corviknight,mirrorarmor,58.48882560694645
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Corviknight,pressure,0.16076692266387632
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Corviknight,unnerve,0.0009473387295627633
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flamigo,costar,58.289282702689306
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flamigo,scrappy,0.7682601327191152
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flamigo,tangledfeet,0.002007862168809438
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sneasler,unburden,58.026418903213205
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sneasler,poisontouch,1.9767872918706106
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sneasler,pressure,0.6665056437539598
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Scream Tail,protosynthesis,56.61341361262035
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Armarouge,flashfire,45.48781927928683
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Armarouge,weakarmor,11.44358454393847
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ogerpon,defiant,55.39771346202955
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Muk-Alola,powerofalchemy,53.43868214046616
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Muk-Alola,poisontouch,0.6112944514664558
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Muk-Alola,gluttony,0.0010726351629409825
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Zoroark-Hisui,illusion,52.932571027450074
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gallade,sharpness,49.96488780947892
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gallade,steadfast,1.1824605210268633
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gallade,justified,0.4985577588420702
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Drifblim,unburden,50.219540901193305
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Drifblim,flareboost,0.0492535889772836
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Drifblim,aftermath,0.7789672073358951
